,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
1595,tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,118,"Comedy,Fantasy,Romance",6.4,81868,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5877,tt0066498,movie,The Ear,Ucho,0,1990,94,"Drama,Thriller",7.8,2743,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6046,tt0067625,movie,Trial on the Road,Proverka na dorogakh,0,1986,96,"Drama,War",7.9,2172,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6240,tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,122,Drama,6.8,6913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6321,tt0069752,movie,Baba,Baba,0,1983,96,"Crime,Drama",7.3,764,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7062,tt0075788,movie,"Bruce Lee, the Legend","Bruce Lee, the Legend",0,1984,88,Documentary,7.2,1090,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7127,tt0076276,movie,Who's Singin' Over There?,Ko to tamo peva,0,1980,86,"Adventure,Comedy,Drama",8.8,14895,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7360,tt0078349,movie,Swan Lake,Sekai meisaku dôwa: Hakuchô no mizûmi,0,1981,75,"Adventure,Animation,Family",7.7,827,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7366,tt0078428,movie,Two Champions of Death,Shao Lin yu Wu Dang,0,1980,101,"Action,Drama",6.3,706,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7388,tt0078780,movie,Animalympics,Animalympics,0,1980,78,"Animation,Comedy,Family",6.8,2030,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7392,tt0078813,movie,The Miser,L'avare,0,1980,125,Comedy,6.7,4362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7400,tt0078868,movie,Confidence,Bizalom,0,1980,105,Drama,7.5,773,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7404,tt0078876,movie,"Ion: Blestemul pamîntului, blestemul iubirii","Ion: Blestemul pamîntului, blestemul iubirii",0,1980,205,"Drama,History",8.0,538,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7405,tt0078894,movie,Les bons débarras,Les bons débarras,0,1980,120,Drama,8.1,712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7419,tt0079007,movie,The Cuenca Crime,El crimen de Cuenca,0,1980,88,"Drama,History",7.2,632,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7428,tt0079090,movie,The Conductor,Dyrygent,0,1980,101,"Drama,Music",6.9,590,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7438,tt0079193,movie,The Garage,Garazh,0,1980,96,"Comedy,Drama",8.1,3634,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7450,tt0079293,movie,Space Firebird,Hi no tori 2772: Ai no kosumozôn,0,1980,122,"Adventure,Animation,Drama",6.9,512,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7478,tt0079579,movie,Moscow Does Not Believe in Tears,Moskva slezam ne verit,0,1980,150,"Comedy,Drama,Romance",8.1,12341,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7488,tt0079619,movie,A Few Days from the Life of I.I. Oblomov,Neskolko dney iz zhizni I.I. Oblomova,0,1980,140,"Comedy,Drama,History",7.7,2221,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7489,tt0079625,movie,El nido,El nido,0,1980,97,Drama,7.1,526,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7507,tt0079718,movie,Piedone d'Egitto,Piedone d'Egitto,0,1980,103,"Action,Comedy,Crime",6.2,3120,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7509,tt0079749,movie,Adventures of Ali-Baba and the Forty Thieves,Alibaba Aur 40 Chor,0,1980,138,"Action,Adventure,Family",6.2,534,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
